Halobacterium sp. NRC-1, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
hypothetical protein VNG0032H 	29046	29429	+	127	15789368	1446978	-	VNG0032H	-
hypothetical protein VNG0033H 	29476	29913	-	145	15789369	1446979	-	VNG0033H	-
hypothetical protein VNG0034H 	29913	30014	-	33	15789370	1446980	-	VNG0034H	-
hypothetical protein VNG0035H 	30356	31168	-	270	15789371	1446981	-	VNG0035H	COG3039L
hypothetical protein VNG0037H 	31838	32086	+	82	15789372	1446982	-	VNG0037H	COG1598S
hypothetical protein VNG0038H 	32101	32355	+	84	15789373	1446983	-	VNG0038H	COG1724N
hypothetical protein VNG0039H 	32555	32890	-	111	15789374	1446984	-	VNG0039H	COG1497K
hypothetical protein VNG0040C 	33182	33628	-	148	15789375	1446985	-	VNG0040C	COG4190K
hypothetical protein VNG0041C 	33610	33915	-	101	15789376	1446986	-	VNG0041C	-
transposase 	34651	35931	-	426	15789377	1446987	ntp	VNG0042G	COG0675L
hypothetical protein VNG0043H 	36321	36713	+	130	15789378	1446988	-	VNG0043H	COG1943L
hypothetical protein VNG0044H 	36715	37971	+	418	15789379	1446989	-	VNG0044H	COG0675L
hypothetical protein VNG0045C 	38017	39432	+	471	15789380	1446990	-	VNG0045C	COG1474LO
UDP-glucose dehydrogenase 	39611	40903	-	430	15789381	1446991	ugd	VNG0046G	COG1004M
dTDP-glucose pyrophosphorylase 	40991	41719	+	242	16554457	1449009	graD6	VNG0047Gm	COG1209M
hypothetical protein VNG0049H 	41880	42659	+	259	15789383	1446992	-	VNG0049H	COG3897R
hypothetical protein VNG0050C 	42707	44149	+	480	15789384	1446993	-	VNG0050C	COG2244R
LPS biosynthesis 	44245	45456	-	403	15789385	1446994	rfbU1	VNG0051G	COG0438M
hypothetical protein VNG0052H 	47199	48473	-	424	15789386	1446995	-	VNG0052H	COG3385L
hypothetical protein VNG0053H 	48767	49222	+	151	15789387	1446996	-	VNG0053H	-
hypothetical protein VNG0054H 	49352	49972	-	206	15789388	1446997	-	VNG0054H	-
hypothetical protein VNG0055H 	49985	50251	+	88	15789389	1446998	-	VNG0055H	-
hypothetical protein VNG0056H 	50564	51970	-	468	15789390	1446999	-	VNG0056H	COG3436L
hypothetical protein VNG0057H 	53192	54367	+	391	15789391	1447000	-	VNG0057H	-
hypothetical protein VNG0058H 	54696	55745	-	349	15789392	1447001	-	VNG0058H	-
hypothetical protein VNG0059H 	56287	57561	+	424	15789393	1447002	-	VNG0059H	COG3385L
LPS glycosyltransferase 	57660	58661	-	333	15789394	1447003	lpg	VNG0060G	COG0438M
hypothetical protein VNG0061C 	58827	60182	+	451	15789395	1447004	-	VNG0061C	COG3119P
LPS biosynthesis protein 	60609	61625	-	338	15789396	1447005	lpb	VNG0062G	COG0438M
GalE2 	61700	62686	-	328	15789397	1447006	galE2	VNG0063G	COG0451MG
GraD3 	62927	63643	+	238	15789398	1447007	graD3	VNG0064G	COG1209M
GDP-D-mannose dehydratase 	63881	64810	+	309	15789399	1447008	gmd	VNG0065G	COG0451MG
hypothetical protein VNG0066H 	64976	65206	+	76	15789400	1447009	-	VNG0066H	COG2886S
hypothetical protein VNG0067H 	65203	65472	+	89	15789401	1447010	-	VNG0067H	COG2405R
hypothetical protein VNG0068H 	65671	65832	+	53	15789402	1447011	-	VNG0068H	-
hypothetical protein VNG0069H 	66054	66251	+	65	15789403	1447012	-	VNG0069H	-
hypothetical protein VNG0070H 	66241	66534	+	97	15789404	1447013	-	VNG0070H	COG2026JD
hypothetical protein VNG0072H 	67057	67491	-	144	15789405	1447014	-	VNG0072H	COG2402R
hypothetical protein VNG0073C 	67908	68204	+	98	15789406	1447015	-	VNG0073C	COG0451MG
hypothetical protein VNG0075H 	68290	68514	+	74	15789407	1447016	-	VNG0075H	COG1349KG
hypothetical protein VNG0076H 	69300	69419	-	39	15789408	1447017	-	VNG0076H	-
hypothetical protein VNG0077H 	69967	70749	+	260	15789409	1447018	-	VNG0077H	-
hypothetical protein VNG0079H 	71127	71342	-	71	15789410	1447019	-	VNG0079H	-
hypothetical protein VNG0080H 	71317	71748	+	143	15789411	1447020	-	VNG0080H	COG5652S
hypothetical protein VNG0081G 	71811	72704	+	297	15789412	1447021	moaE	VNG0081G	COG0314H
MoeB 	72708	73544	-	278	15789413	1447022	moeB	VNG0084G	COG0476H
hypothetical protein VNG0085G 	73639	74742	+	367	15789414	1447023	moaA	VNG0085G	COG2896H
molybdopterin biosynthesis protein 	74752	76647	-	631	16554458	1449010	moeA2	VNG0086Gm	COG0303H
MoeA1 	76644	77867	-	407	15789416	1447024	moeA1	VNG0090G	COG0303H
L-isoaspartyl protein carboxyl methyltransferase 	77923	78660	-	245	15789417	1447025	pimT1	VNG0089G	COG2518O
hypothetical protein VNG0091C 	78683	79597	-	304	15789418	1447026	-	VNG0091C	-
hypothetical protein VNG0094C 	79662	80327	-	221	15789419	1447027	-	VNG0094C	COG1326R
hypothetical protein VNG0096C 	80387	81328	-	313	15789420	1447028	-	VNG0096C	COG2309E
glyceraldehyde-3-phosphate dehydrogenase 	81452	82459	+	335	15789421	1447029	gapB	VNG0095G	COG0057G
Hsp2 	82540	82926	+	128	15789422	1447030	hsp2	VNG0097G	COG0071O
RimK 	82932	83789	-	285	15789423	1447031	rimK	VNG0098G	COG0189HJ
50S ribosomal protein L10e 	83885	84415	-	176	15789424	1447032	rpl10e	VNG0099G	COG0197J
CspD1 	84617	84841	-	74	15789425	1447033	cspD1	VNG0101G	COG1278K
hypothetical protein VNG0102C 	84927	85583	-	218	15789426	1447034	-	VNG0102C	COG0546R
SerA3 	85640	86611	-	323	15789427	1447035	serA3	VNG0104G	COG0111HE
hypothetical protein VNG0105H 	86734	87219	-	161	15789428	1447036	-	VNG0105H	-
RmeM 	87668	89167	+	499	15789429	1447037	rmeM	VNG0106G	COG0286V
RmeS 	89160	90587	+	475	15789430	1447038	rmeS	VNG0107G	COG0732V
RmeR 	90639	93641	+	1000	15789431	1447039	rmeR	VNG0108G	COG0610V
hypothetical protein VNG0110C 	93634	94359	+	241	15789432	1447040	-	VNG0110C	COG1451R
hypothetical protein VNG0112H 	96010	96543	-	177	15789433	1447042	-	VNG0112H	COG3385L
hypothetical protein VNG0113H 	97444	98121	+	225	15789434	1447043	-	VNG0113H	COG3413R
YusZ1 	98226	99008	+	260	15789435	1447044	yusZ1	VNG0115G	COG4221R
hypothetical protein VNG0116H 	100891	101715	-	274	15789436	1447045	-	VNG0116H	-
hypothetical protein VNG0117H 	102034	102309	-	91	15789437	1447046	-	VNG0117H	-
hypothetical protein VNG0118H 	102309	102692	-	127	15789438	1447047	-	VNG0118H	-
hypothetical protein VNG0119H 	102863	103021	-	52	15789439	1447048	-	VNG0119H	-
hypothetical protein VNG0120H 	103021	103146	-	41	15789440	1447049	-	VNG0120H	-
hypothetical protein VNG0121H 	103514	104005	+	163	15789441	1447051	-	VNG0121H	COG1430S
ABC transport protein 	104073	106001	+	642	15789442	1447052	trp1	VNG0123G	COG1132V
hypothetical protein VNG0124C 	106009	106791	+	260	15789443	1447053	-	VNG0124C	COG1402R
hypothetical protein VNG0125H 	106803	107189	-	128	15789444	1447054	-	VNG0125H	-
hypothetical protein VNG0127C 	107233	107562	-	109	15789445	1447055	-	VNG0127C	COG2098S
hypothetical protein VNG0128C 	107649	108428	+	259	15789446	1447056	-	VNG0128C	COG0451MG
Hsp4 	108694	109563	+	289	15789447	1447057	hsp4	VNG0129G	COG0501O
hypothetical protein VNG0130H 	109649	109831	+	60	15789448	1447058	-	VNG0130H	-
hypothetical protein VNG0132C 	109834	110448	-	204	15789449	1447059	-	VNG0132C	-
replication factor A 	110769	112193	+	474	15789450	1447061	rpa	VNG0133G	COG1599L
HpyA 	112247	112699	+	150	15789451	1447062	hpyA	VNG0134G	COG2036B
Aup 	112696	113712	+	338	15789452	1447063	aup	VNG0136G	COG0123BQ
tRNA CCA-pyrophosphorylase 	113691	115049	-	452	15789453	1447064	cca	VNG0137G	COG1746J
hypothetical protein VNG0138H 	115898	116149	+	83	15789454	1447067	-	VNG0138H	-
hypothetical protein VNG0139H 	116234	116758	+	174	15789455	1447068	-	VNG0139H	-
hypothetical protein VNG0140H 	116881	117093	+	70	15789456	1447069	-	VNG0140H	-
hypothetical protein VNG0141H 	117313	117579	-	88	15789457	1447070	-	VNG0141H	-
hypothetical protein VNG0142C 	117867	118271	-	134	15789458	1447071	-	VNG0142C	COG3355K
hypothetical protein VNG0143H 	118287	118700	-	137	15789459	1447072	-	VNG0143H	-
hypothetical protein VNG0144H 	118615	119052	+	145	15789460	1447073	-	VNG0144H	COG3439S
hypothetical protein VNG0146H 	119518	119754	+	78	15789461	1447074	-	VNG0146H	-
hypothetical protein VNG0147C 	119759	120226	-	155	15789462	1447075	-	VNG0147C	COG0864K
hypothetical protein VNG0148H 	120254	120364	-	36	15789463	1447076	-	VNG0148H	-
hypothetical protein VNG0149G 	120602	122875	+	757	15789464	1447077	zntA	VNG0149G	COG2217P
hypothetical protein VNG0150H 	122890	123561	-	223	15789465	1447078	-	VNG0150H	-
hypothetical protein VNG0151C 	123558	123839	-	93	15789466	1447079	-	VNG0151C	-
PrrC 	124088	124756	-	222	15789467	1447080	prrC	VNG0152G	COG1999R
hypothetical protein VNG0153C 	125012	126100	-	362	15789468	1447081	-	VNG0153C	-
MerA 	126179	127576	-	465	15789469	1447082	merA	VNG0154G	COG1249C
hypothetical protein VNG0156C 	127692	128390	+	232	15789470	1447083	-	VNG0156C	COG3413R
OxlT 	128484	129716	+	410	15789471	1447084	oxlT	VNG0157G	-
2-keto-3-deoxygluconate kinase 	129737	130693	-	318	15789472	1447085	kdgK	VNG0158G	COG0524G
DNA mismatch repair protein 	130717	132696	-	659	15789473	1447086	mutL	VNG0159G	COG0323L
Boa1 	132683	135277	+	864	15789474	1447087	boa1	VNG0160G	COG3413R
GdhB 	135504	136793	+	429	15789475	1447088	gdhB	VNG0161G	COG0334E
AlkK 	136676	138478	+	600	15789476	1447089	alkK	VNG0162G	COG0318IQ
DNA mismatch repair protein 	138494	141109	-	871	15789477	1447090	mutS1	VNG0163G	COG0249L
Hef 	141181	142200	-	339	15789478	1447091	hef	VNG0164G	COG0309O
proteasome subunit alpha 	142335	143096	+	253	15789479	1447092	psmB	VNG0166G	COG0638O
hypothetical protein VNG0167H 	143339	143497	+	52	15789480	1447093	-	VNG0167H	-
hypothetical protein VNG0168H 	143498	144202	-	234	15789481	1447094	-	VNG0168H	-
polyketide biosynthesis dithiol-disulfide isomerase 	144354	144983	-	209	16554459	1449011	-	VNG0170Cm	COG2761Q
hypothetical protein VNG0171C 	145185	145907	+	240	15789483	1447095	-	VNG0171C	COG1637L
DNA mismatch repair protein 	145879	148470	-	863	15789484	1447096	mutS2	VNG0172G	COG0249L
Cat1 	148838	151168	+	776	15789485	1447097	cat1	VNG0174G	COG0531E
TRK potassium uptake system protein 	151174	151860	+	228	15789486	1447098	trkA1	VNG0175G	COG0569P
hypothetical protein VNG0176H 	151875	152615	-	246	15789487	1447099	-	VNG0176H	COG1247M
50S ribosomal protein L15e 	152767	153357	-	196	15789488	1447100	rpl15e	VNG0177G	COG1632J
hypothetical protein VNG0178H 	153490	154470	-	326	15789489	1447101	-	VNG0178H	-
hypothetical protein VNG0179C 	154694	155596	-	300	15789490	1447102	-	VNG0179C	COG0478T
Hop 	155681	156505	-	274	15789491	1447103	hop	VNG0180G	COG5524R
Lpl 	156613	157431	+	272	15789492	1447104	lpl	VNG0181G	COG0095H
hypothetical protein VNG0183G 	157481	158308	+	275	15789493	1447105	xthA	VNG0183G	COG0648L
hypothetical protein VNG0184H 	158525	159292	+	255	15789494	1447106	-	VNG0184H	COG2226H
PepB1 	159342	160433	+	363	15789495	1447107	pepB1	VNG0186G	COG2309E
hypothetical protein VNG0187H 	160464	161201	-	245	15789496	1447108	-	VNG0187H	-
hypothetical protein VNG0188H 	161207	162586	+	459	15789497	1447109	-	VNG0188H	-
hypothetical protein VNG0189C 	162656	164095	+	479	15789498	1447110	-	VNG0189C	COG1078R
hypothetical protein VNG0190C 	164151	165113	+	320	15789499	1447111	-	VNG0190C	COG0037D
cell division protein FtsZ 	165152	166279	-	375	15789500	1447112	ftsZ2	VNG0192G	COG0206D
hypothetical protein VNG0194H 	166336	166503	-	55	15789501	1447113	-	VNG0194H	COG0864K
hypothetical protein VNG0195H 	166681	167121	-	146	15789502	1447114	-	VNG0195H	-
hypothetical protein VNG0196H 	167794	168054	-	86	15789503	1447116	-	VNG0196H	-
hypothetical protein VNG0197C 	168184	169212	-	342	15789504	1447117	-	VNG0197C	COG0392S
hypothetical protein VNG0198H 	169721	170389	-	222	15789505	1447118	-	VNG0198H	-
hypothetical protein VNG0199H 	170386	170754	-	122	15789506	1447119	-	VNG0199H	-
hypothetical protein VNG0200C 	170747	171424	-	225	15789507	1447120	-	VNG0200C	-
hypothetical protein VNG0204H 	171924	172646	-	240	15789508	1447121	-	VNG0204H	-
hypothetical protein VNG0203C 	172643	173506	-	287	15789509	1447122	-	VNG0203C	-
hypothetical protein VNG0205H 	173537	173824	-	95	15789510	1447123	-	VNG0205H	-
hypothetical protein VNG0207H 	175115	175471	+	118	15789511	1447124	-	VNG0207H	-
hypothetical protein VNG0208H 	175471	175920	+	149	15789512	1447125	-	VNG0208H	-
hypothetical protein VNG0209H 	175913	176947	+	344	15789513	1447126	-	VNG0209H	COG4974L
hypothetical protein VNG0210H 	177093	177296	-	67	15789514	1447127	-	VNG0210H	-
hypothetical protein VNG0212H 	177587	178354	+	255	15789515	1447128	-	VNG0212H	-
hypothetical protein VNG0213H 	178317	179321	+	334	15789516	1447129	-	VNG0213H	-
hypothetical protein VNG0214C 	179707	180366	-	219	15789517	1447130	-	VNG0214C	-
hypothetical protein VNG0215C 	180916	183489	-	857	15789518	1447131	-	VNG0215C	COG4983S
hypothetical protein VNG0216H 	183649	183858	-	69	15789519	1447132	-	VNG0216H	-
hypothetical protein VNG0217H 	184345	184965	+	206	15789520	1447133	-	VNG0217H	-
GspE1 	184985	186631	-	548	15789521	1447134	gspE1	VNG0218G	COG0630NU
hypothetical protein VNG0219H 	187174	187731	+	185	15789522	1447135	-	VNG0219H	-
hypothetical protein VNG0220H 	187731	188303	+	190	15789523	1447136	-	VNG0220H	-
hypothetical protein VNG0222C 	188303	189565	+	420	15789524	1447137	-	VNG0222C	COG1721R
MoxR 	190053	191009	-	318	15789525	1447138	moxR	VNG0223G	COG0714R
hypothetical protein VNG0226G 	191310	192380	+	356	15789526	1447140	htrA	VNG0226G	COG0265O
hypothetical protein VNG0227H 	192372	192635	-	87	15789527	1447141	-	VNG0227H	COG1430S
GMP synthase subunit A 	192826	193377	+	183	15789528	1447142	guaAa	VNG0228G	COG0518F
hypothetical protein VNG0230C 	193384	195258	+	624	15789529	1447143	-	VNG0230C	COG3356S
hypothetical protein VNG0231C 	195274	195984	+	236	15789530	1447144	-	VNG0231C	COG0491R
hypothetical protein VNG0233H 	196042	196281	-	79	15789531	1447145	-	VNG0233H	-
hypothetical protein VNG0234C 	196288	196665	-	125	15789532	1447146	-	VNG0234C	COG1382O
DNA-directed RNA polymerase subunit P 	197052	197186	-	44	15789533	1447147	-	VNG0237H	COG1996K
50S ribosomal protein L37Ae 	197195	197512	-	105	15789534	1447148	rpl37ae	VNG0239C	COG1997J
hypothetical protein VNG0238H 	197630	197848	+	72	15789535	1447149	-	VNG0238H	-
hypothetical protein VNG0240C 	197876	198598	-	240	15789536	1447150	-	VNG0240C	COG4031R
tRNA pseudouridine synthase D 	198651	199955	-	434	16554460	1449012	truD	VNG0243Cm	COG0585S
peptidyl-tRNA hydrolase 	199955	200293	-	112	16554461	1449013	-	VNG0240a	COG1990S
hypothetical protein VNG0244H 	200377	200991	+	204	15789538	1447151	-	VNG0244H	COG2881S
deoxycytidine triphosphate deaminase 	201025	201612	+	195	15789539	1447152	dcd	VNG0245G	COG0717F
hypothetical protein VNG0247C 	201609	202517	+	302	15789540	1447153	-	VNG0247C	COG1992S
hypothetical protein VNG0248C 	202509	203273	-	254	15789541	1447154	-	VNG0248C	-
Fbr 	203276	205708	-	810	15789542	1447155	fbr	VNG0249G	COG3794C
hypothetical protein VNG0250C 	205790	206539	-	249	15789543	1447156	-	VNG0250C	COG1701S
hypothetical protein VNG0251C 	206579	207418	-	279	15789544	1447157	-	VNG0251C	COG1829R
geranylgeranylglyceryl phosphate synthase-like protein 	207474	208184	-	236	161349986	1447158	-	VNG0252C	COG1646R
TfbG 	208286	209257	-	323	15789546	1447159	tfbG	VNG0254G	COG1405K
hypothetical protein VNG0255C 	209439	210038	+	199	15789547	1447160	-	VNG0255C	COG0328L
hypothetical protein VNG0256H 	210031	210582	+	183	15789548	1447161	-	VNG0256H	-
hypothetical protein VNG0258H 	210639	210989	-	116	15789549	1447162	-	VNG0258H	COG1695K
inorganic pyrophosphatase 	211101	211634	+	177	15789550	1447163	ipp	VNG0259G	COG0221C
hypothetical protein VNG0261H 	211694	211852	+	52	15789551	1447164	-	VNG0261H	-
hypothetical protein VNG0262C 	211896	213011	+	371	15789552	1447165	-	VNG0262C	COG0618R
hypothetical protein VNG0264H 	213067	214425	+	452	15789553	1447166	-	VNG0264H	COG3379S
FtsZ4 	214442	215515	-	357	15789554	1447167	ftsZ4	VNG0265G	COG0206D
hypothetical protein VNG0266H 	215499	216068	+	189	15789555	1447168	-	VNG0266H	-
hypothetical protein VNG0267H 	216068	216961	+	297	15789556	1447169	-	VNG0267H	COG0451MG
hypothetical protein VNG0268C 	216982	218070	+	362	15789557	1447170	-	VNG0268C	COG0667C
hypothetical protein VNG0270C 	218415	219332	+	305	15789558	1447171	-	VNG0270C	COG2814G
hypothetical protein VNG0271C 	219360	220454	+	364	15789559	1447172	-	VNG0271C	-
hypothetical protein VNG0272H 	220482	220949	+	155	15789560	1447173	-	VNG0272H	-
hypothetical protein VNG0274C 	221005	221610	+	201	15789561	1447174	-	VNG0274C	COG0494LR
CrtI3 	221649	223274	+	541	15789562	1447175	crtI3	VNG0277G	COG3349S
hypothetical protein VNG0280H 	223518	224468	-	316	15789563	1447176	-	VNG0280H	-
SoxB 	224467	225588	+	373	15789564	1447177	soxB	VNG0281G	COG0665E
hypothetical protein VNG0283C 	225590	226024	-	144	15789565	1447178	-	VNG0283C	COG0071O
hypothetical protein VNG0282H 	226021	226179	-	52	15789566	1447179	-	VNG0282H	-
hypothetical protein VNG0284C 	227135	228829	+	564	15789567	1447180	-	VNG0284C	COG1031C
hypothetical protein VNG0285C 	229052	229441	+	129	15789568	1447181	-	VNG0285C	COG1943L
hypothetical protein VNG0286C 	229443	230597	+	384	15789569	1447182	-	VNG0286C	COG0675L
hypothetical protein VNG0287a 	230650	231078	-	142	16554462	1449014	-	VNG0287a	COG3269R
hypothetical protein VNG0289H 	231155	231817	-	220	15789571	1447183	-	VNG0289H	COG0727R
hypothetical protein VNG0291H 	231863	232645	-	260	15789572	1447184	-	VNG0291H	COG0426C
hypothetical protein VNG0293H 	232683	232952	-	89	15789573	1447185	-	VNG0293H	-
N-methyltransferase-like protein 	233317	233841	+	174	15789574	1447186	pnm	VNG0294G	COG2226H
hypothetical protein VNG0296H 	233894	234811	+	305	15789575	1447187	-	VNG0296H	-
hypothetical protein VNG0297H 	234808	235626	-	272	15789576	1447188	-	VNG0297H	COG2159R
hypothetical protein VNG0298H 	235698	236303	-	201	15789577	1447189	-	VNG0298H	COG2860S
hypothetical protein VNG0300C 	236318	237037	-	239	15789578	1447190	-	VNG0300C	COG1912S
nicotinamide-nucleotide adenylyltransferase 	237133	237666	-	177	15789579	1447191	-	VNG0301C	COG1056H
ATP-dependent protease Lon 	237843	239951	+	702	15789580	1447192	lon	VNG0303G	COG1067O
hypothetical protein VNG0306C 	240007	240528	-	173	15789581	1447193	-	VNG0306C	COG0350L
hypothetical protein VNG0305G 	240541	241296	+	251	15789582	1447194	trpC	VNG0305G	COG0134E
tryptophan synthase subunit beta 	241293	242585	+	430	15789583	1447195	trpB	VNG0307G	COG0133E
tryptophan synthase subunit alpha 	242582	243412	+	276	16554463	1449015	trpA	VNG0308Gm	COG0159E
fructose-bisphosphate aldolase 	243437	244234	+	265	15789585	1447196	-	VNG0309C	COG1830G
hypothetical protein VNG0311H 	244231	244632	-	133	15789586	1447197	-	VNG0311H	-
3-dehydroquinate synthase 	244639	245802	+	387	15789587	1447198	-	VNG0310C	COG1465E
hypothetical protein VNG0312H 	245809	246108	-	99	15789588	1447199	-	VNG0312H	-
3-dehydroquinate dehydratase 	246267	246854	-	195	15789589	1447200	aroD	VNG0314G	COG0710E
TfbF 	247008	247967	-	319	15789590	1447201	tfbF	VNG0315G	COG1405K
hypothetical protein VNG0316C 	248258	248971	+	237	15789591	1447202	-	VNG0316C	COG0614P
Dpg 	248973	250817	-	614	15789592	1447203	dpg	VNG0318G	COG0463M
hypothetical protein VNG0319H 	251021	251263	+	80	15789593	1447204	-	VNG0319H	-
hypothetical protein VNG0320H 	251273	251884	-	203	15789594	1447205	-	VNG0320H	COG3398S
Ids 	251940	253118	-	392	15789595	1447206	ids	VNG0321G	COG0330O
hypothetical protein VNG0322H 	253158	253667	-	169	15789596	1447207	-	VNG0322H	COG1585OU
hypothetical protein VNG0323H 	253700	253876	-	58	15789597	1447208	-	VNG0323H	-
PykA 	253914	255653	-	579	15789598	1447209	pykA	VNG0324G	COG0469G
methionyl-tRNA synthetase 	255742	257811	-	689	15789599	1447210	metG	VNG0326G	COG0143J
L-tyrosine decarboxylase 	257872	258939	-	355	15789600	1447211	gadD	VNG0327G	COG0076E
CaaX 	258965	260251	-	428	15789601	1447212	caaX	VNG0329G	COG0501O
phosphoenolpyruvate synthase 	260291	262549	-	752	15789602	1447213	ppsA	VNG0330G	COG0574G
hypothetical protein VNG0331H 	262683	263072	+	129	15789603	1447214	-	VNG0331H	-
hypothetical protein VNG0332C 	263073	263978	-	301	15789604	1447215	-	VNG0332C	COG0384R
GptA1 	264253	264945	+	230	15789605	1447216	gptA1	VNG0335G	COG2236R
purine nucleoside phosphorylase 	265000	265620	+	206	16554464	1449016	-	VNG0335a	COG0005F
hypothetical protein VNG0337H 	265595	266869	-	424	15789606	1447217	-	VNG0337H	COG3385L
purine nucleoside phosphorylase 	266878	267267	+	129	16554465	1449017	-	VNG0335b	COG0005F
hypothetical protein VNG0339H 	267340	268041	+	233	15789607	1447218	-	VNG0339H	-
hypothetical protein VNG0340C 	268046	268906	-	286	15789608	1447219	-	VNG0340C	COG1354S
Smc1 	268899	272471	-	1190	15789609	1447220	smc1	VNG0342G	COG1196D
hypothetical protein VNG0343H 	272493	272777	-	94	15789610	1447221	-	VNG0343H	-
aspartyl/glutamyl-tRNA amidotransferase subunit B 	272907	274394	+	495	15789611	1447222	gatB	VNG0345G	COG0064J
hypothetical protein VNG0346H 	274440	274601	-	53	15789612	1447223	-	VNG0346H	-
hypothetical protein VNG0347H 	274891	275373	-	160	15789613	1447224	-	VNG0347H	-
DNA topoisomerase I 	275494	277983	+	829	16554466	1449018	topA	VNG0349Gm	COG0550L
hypothetical protein VNG0351C 	278123	279412	+	429	15789615	1447225	-	VNG0351C	COG1602S
hypothetical protein VNG0352H 	279446	279664	+	72	15789616	1447226	-	VNG0352H	-
hypothetical protein VNG0354C 	279704	280474	+	256	15789617	1447227	-	VNG0354C	COG1266R
Htr14 	280487	282370	-	627	15789618	1447228	htr14	VNG0355G	COG0840NT
hypothetical protein VNG0357H 	282398	282826	+	142	15789619	1447229	-	VNG0357H	-
hypothetical protein VNG0359C 	282823	283725	+	300	15789620	1447230	-	VNG0359C	-
hypothetical protein VNG0360C 	283764	284243	-	159	15789621	1447231	-	VNG0360C	-
hypothetical protein VNG0361C 	284272	285273	+	333	15789622	1447232	-	VNG0361C	COG3582R
hypothetical protein VNG0363G 	285278	286072	+	264	15789623	1447233	nfi	VNG0363G	COG1515L
YusZ3 	286131	286952	+	273	15789624	1447234	yusZ3	VNG0364G	COG4221R
ArsA1 	286968	288011	-	347	15789625	1447235	arsA1	VNG0365G	COG0003P
hypothetical protein VNG0367H 	288101	288445	+	114	15789626	1447236	-	VNG0367H	COG3631R
hypothetical protein VNG0368C 	288491	289006	+	171	15789627	1447237	-	VNG0368C	COG1546R
metal-dependent phosphoesterase 	289515	290222	-	235	16554467	1449019	-	VNG0370Hm	COG0613R
Acd1 	290169	291539	+	456	15789629	1447238	acd1	VNG0371G	COG1960I
hypothetical protein VNG0373H 	291616	291984	+	122	15789630	1447239	-	VNG0373H	-
transcription antitermination protein NusG 	291994	292431	-	145	15789631	1447240	nusG	VNG0374G	COG0250K
preprotein translocase subunit SecE 	292433	292606	-	57	15789632	1447241	secE	VNG0375G	-
cell division protein FtsZ 	292670	293860	-	396	15789633	1447242	ftsZ1	VNG0376G	COG0206D
hypothetical protein VNG0378C 	293888	295060	-	390	15789634	1447243	-	VNG0378C	COG1650S
Caa 	295310	296266	-	318	15789635	1447244	caa	VNG0380G	COG0530P
hypothetical protein VNG0382G 	296344	297144	+	266	15789636	1447245	aroE	VNG0382G	COG0169E
hypothetical protein VNG0383H 	297162	297530	+	122	15789637	1447246	-	VNG0383H	COG3743S
